Tag ID,Instrument Name,HISTORY CARD NO,Make,Serial Number,Range,Least Count,Category,Location,Calibration On Date,Frequency (Months),Agency Code
GRS/QA/56,PLUNGER DIAL GAUGE,5,YURI,122551,0-10 mm,0.01,Quality,STORAGE,14.08.2025,12,flowcal
GRS/QA/80,BEVEL PROTRACTOR,9,MITUTOYO,164278,0-360°,5',Quality,IN-PROCESS,30.05.2026,12,flowcal
GRS/QA/92,VERNIER HEIGHT GAUGE,13,INSIZE,1406198610,0-600 mm,0.02,Quality,IN-PROCESS,03.02.2026,12,flowcal
GRS/QA/84,DIAL VERNIER CALIPER,15,INSIZE,SC50207170328,0-300 mm,0.02,Quality,DIE SHOP,03.02.2026,12,flowcal
GRS/QA/87,DIGITAL VERNIER CALIPER,18,INSIZE,2106181711,0-300 mm,0.01,Quality,IN-PROCESS,06.01.2026,12,flowcal
GRS/QA/57,VERNIER CALIPER,21,YURI,J13053178,0-300 mm,0.02,Quality,IN-PROCESS,30.05.2026,12,flowcal
GRS/QA/88,DIGITAL HEIGHT GAUGE,22,MITUTOYO,17106198,0-600 mm,0.01,Quality,IN-PROCESS,02.09.2025,12,flowcal
GRS/QA/91,LEVER DIAL GAUGE,26,INSIZE,8B00715,0-0.8 mm,0.01,Quality,STORAGE,16.07.2025,12,flowcal
GRS/QA/VB/01,MAGNETIC V- BLOCK,29,JAFUJI,1348-1,100x95x70,NA,Quality,IN-PROCESS,04.07.2026,12,flowcal
GRS/QA/VB/02,MAGNETIC V- BLOCK,30,JAFUJI,1348-2,100x95x70,NA,Quality,IN-PROCESS,04.07.2026,12,flowcal
GRS/QA/VC/02,VERNIER CALIPER,32,MITUTOYO,19001533,0-600 mm,0.02,Quality,IN-PROCESS,13.10.2025,12,flowcal
GRS/QA/82,PLUNGER DIAL GAUGE,33,YASAKI,JTR 417,0-10 mm,0.01,Quality,IN-PROCESS,03.02.2026,12,flowcal
GRS/QA/ST/01,SURFACE TABLE,34,JAFUJI,"20/210
20A/WL/1146",1000 X1000,NA,Quality,IN-PROCESS,06.10.2025,12,flowcal
GRS/QA/96,COATING THICKNESS GAUGE,38,AQMEZZURE,NA,0-1000 mm,0.1,Quality,MPI,06.05.2026,12,flowcal
GRS/QA/97,VERNIER DEPTH GAUGE,40,MITUTOYO,20711055,0-300mm,0.02,Quality,IN-PROCESS,13.10.2025,12,flowcal
GRS/QA/98,PLUNGER DIAL GAUGE,42,BAKER,ECC557,0-10 mm,0.01,Quality,DIE SHOP,19.08.2025,12,flowcal
GRS/QA/99,PLUNGER DIAL GAUGE,43,BAKER,ECC632,0-10 mm,0.01,Quality,DIE SHOP,19.08.2025,12,flowcal
RG-02,Radius Gauge,44,KRISTEEL,NA,7.5-15 mm,NA,Quality,IN-PROCESS,19.08.2025,12,flowcal
RG-01,Radius Gauge,45,KRISTEEL,NA,1.0-7.0 mm,NA,Quality,IN-PROCESS,19.08.2025,12,flowcal
RG-03,Radius Gauge,46,KRISTEEL,NA,15.5-25 mm,NA,Quality,IN-PROCESS,19.08.2025,12,flowcal
GRS/QA/PP/01,Portable Hand Pyrometer,48,HTC/IRX-66,VVV/GPY-01,(-50) to 1550°C,NA,Quality,IN-PROCESS,19.08.2025,12,flowcal
GRS/QA/102-23,PLUNGER DIAL GAUGE,49,BAKER,ADB098,0-10 mm,0.01,Quality,DIE SHOP,13.10.2025,12,flowcal
GRS/QA/LD/103-23,LEVER DIAL GAUGE,50,INSIZE,513-401-10,0-0.8 mm,0.01,Quality,DIE SHOP,19.08.2025,12,flowcal
GRS/QA/DV/101-23,VERNIER DEPTH GAUGE,51,MITUTOYO,221201-0,0-300mm,0.01,Quality,DIE SHOP,19.08.2025,12,flowcal
GRS/DS/DG/104,PLUNGER DIAL GAUGE,52,INSIZE,1910257,0-10 mm,0.01,Quality,DIE SHOP,06.01.2026,12,flowcal
GRS/DS/DG/105,PLUNGER DIAL GAUGE,53,INSIZE,1924182,0-10 mm,0.01,Quality,DIE SHOP,06.01.2026,12,flowcal
GRS/QA/106-24,Analog Vernier Caliper,54,MITUTOYO,23213230,0-300 mm,0.02,Quality,IN-PROCESS,03.02.2026,12,flowcal
GRS/QA/107-24,Analog Vernier Caliper,55,MITUTOYO,23323413,0-300 mm,0.02,Quality,IN-PROCESS,19.08.2025,12,flowcal
GRS/QA/108-24,VERNIER HEIGHT GAUGE,56,INSIZE,1111178362,0-600 mm,0.02,Quality,IN-PROCESS,11.12.2025,12,flowcal
GRS/DS/VC/108-24,Analog Vernier Caliper,57,INSIZE,206210839,0-300 mm,0.02,Quality,DIE SHOP,05.02.2026,12,flowcal
GRS/DS/VC/109-24,Analog Vernier Caliper,58,INSIZE,2007240843,0-300 mm,0.02,Quality,DIE SHOP,05.02.2026,12,flowcal
GRS/QA/SP/02/25,SURFACE TABLE,59,JAFUJI,18/6214,1000 X1000,NA,Quality,IN-PROCESS,30.05.2026,12,flowcal
